Workload,Policy,MaxFatigue_Mean,MaxFatigue_Std
0.2,Weight-Fatigue,0.502074006,0.175851493
0.2,Human-Centered,0.951090294,0.063802048
0.2,Robot-Centered,0.669210992,0.270942246
0.2,Greedy,0.958408168,0.076690553
0.4,Weight-Fatigue,0.766497503,0.088485253
0.4,Human-Centered,0.951325586,0.052465808
0.4,Robot-Centered,0.929621905,0.083051216
0.4,Greedy,0.997,0.011532563
0.6,Weight-Fatigue,0.789528721,0.068692352
0.6,Human-Centered,0.963003708,0.051967758
0.6,Robot-Centered,0.940599964,0.070545174
0.6,Greedy,0.9994,0.0042
